experiment,group,scale_factor,alpha,mae,rmse,features,residual_blocks,model,patience,lr,wd,soft,hard,version,resampling,data,parameters,exp_group
316,12,16,,0.11823,0.19355,4,4,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,3777,5
317,12,16,,0.11368,0.1863,4,8,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,4961,5
318,12,16,,0.11715,0.19214,4,16,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,7329,5
319,12,16,,0.10846,0.17901,4,32,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,12065,5
320,12,16,,0.10563,0.1741,4,64,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,21537,5
377,12,16,,0.10739,0.1771,4,128,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,40481,5
321,12,16,,0.10883,0.17547,8,1,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,11249,5
322,12,16,,0.10504,0.16939,8,2,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,12417,5
323,12,16,,0.09345,0.15041,8,4,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,14753,5
324,12,16,,0.08554,0.13996,8,8,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,19425,5
325,12,16,,0.08643,0.14112,8,16,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,28769,5
326,12,16,,0.08078,0.13235,8,32,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,47457,5
327,12,16,,0.08134,0.13337,8,64,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,84833,5
378,12,16,,0.08016,0.13189,8,128,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,159585,5
328,12,16,,0.07996,0.12631,16,1,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,44385,5
329,12,16,,0.07086,0.11146,16,2,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,49025,5
341,12,16,,0.06254,0.09925,16,4,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,58305,5
342,12,16,,0.05742,0.09185,16,8,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,76865,5
343,12,16,,0.05585,0.08945,16,16,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,113985,5
347,12,16,,0.05493,0.08779,16,32,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,188225,5
348,12,16,,0.05561,0.08944,16,64,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,336705,5
380,12,16,,0.05715,0.09215,16,128,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,633665,5
330,12,16,,0.05262,0.0808,32,1,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,176321,5
332,12,16,,0.0388,0.05842,32,2,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,194817,5
331,12,16,,0.03485,0.05092,32,4,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,231809,5
333,12,16,,0.03267,0.04668,32,8,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,305793,5
335,12,16,,0.0322,0.04485,32,16,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,453761,5
336,12,16,,0.03355,0.04733,32,32,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,749697,5
334,12,16,,0.03213,0.04398,32,64,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,1341569,5
365,12,16,,0.03182,0.04313,32,128,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,2525313,5
337,12,16,,0.03717,0.05929,64,1,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,702849,5
338,12,16,,0.02947,0.04349,64,2,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,776705,5
339,12,16,,0.0275,0.03713,64,4,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,924417,5
340,12,16,,0.02687,0.03448,64,8,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,1219841,5
344,12,16,,0.02645,0.03293,64,16,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,1810689,5
345,12,16,,0.02701,0.035,64,32,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,2992385,5
346,12,16,,0.02657,0.03308,64,64,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,5355777,5
366,12,16,,0.02645,0.03278,64,128,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,10082561,5
390,12,16,,0.03155,0.0519,128,1,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,2806529,5
391,12,16,,0.0273,0.0362,128,2,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,3101697,5
392,12,16,,0.02653,0.03308,128,4,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,3692033,5
393,12,16,,0.02654,0.03315,128,8,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,4872705,5
394,12,16,,0.02644,0.03291,128,16,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,7234049,5
395,12,16,,0.02644,0.03295,128,32,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,11956737,5
628,12,16,,0.02631,0.03223,128,64,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,21402113,5
396,12,16,,0.02671,0.03334,128,128,EDSR,10,0.0001,0.00001,0,1,mae,average,ReKIS,40292865,5
